Name,Street_Address,City,State,Zip-Code,Latitude,Longitude,Phone#,Loc Type,24/7 Self-Service
Coach House,7011 E Indian School Rd,Scottsdale,AZ,85251,33.494516,-111.929916,,Propane Tank Exchange,False
Albertsons,2785  N Scottsdale Rd,Scottsdale,AZ,85257,33.478893,-111.92421,,Propane Tank Exchange,False
ARCO AM PM,1207 N 75th Ave,Phoenix,AZ,85031,33.461095,-112.219889,,Propane Cylinder Refill,False
Circle K,7428 N 51st Ave,Glendale,AZ,85301,33.54548,-112.169056,,Propane Tank Exchange,False
Cobblestone Auto Spa,616 W Baseline Rd,Tempe,AZ,85032,33.378462,-111.945872,,Propane Cylinder Refill,False
Circle K,7424 W McDowell,Phoenix,AZ,85035,33.466229,-112.219913,,Propane Tank Exchange,False
Circle K,4801 E Elliot,Phoenix,AZ,85044,33.348269,-111.979869,,Propane Tank Exchange,False
Brat Haus,3622 N Scottsdale,Scottsdale,AZ,85251,33.490162,-111.92629,,Propane Tank Exchange,False
Circle K,7602 E McKellips,Scottsdale,AZ,85257,33.451606,-111.917689,,Propane Tank Exchange,False
Safeway,926 E Broadway,Tempe,AZ,85282,33.408954,-111.925235,,Propane Tank Exchange,False
Circle K,3443 W Dunlap,Phoenix,AZ,85051,33.567124,-112.13369,,Propane Tank Exchange,False
Walmart,9600 N Metro Pkwy W,Phoenix,AZ,85051,33.5727,-112.121102,,Propane Tank Exchange,True
Walmart,2020 N 75th Ave,Phoenix,AZ,85035,33.470295,-112.223344,,Propane Tank Exchange,True
Circle K,2840 N 75th Ave,Phoenix,AZ,85034,33.479746,-112.22116,,Propane Tank Exchange,False
Walmart,7575 W Lower Buckeye,Phoenix,AZ,85043,33.420361,-112.223313,,Propane Tank Exchange,False
Walmart,800 E Southern Ave,Tempe,AZ,85282,33.393799,-111.927843,,Propane Tank Exchange,True
Circle K,6305 W Maryland,Glendale,AZ,85301,33.530885,-112.195416,,Propane Tank Exchange,False
U-Haul,6001 N 67th Ave,Glendale,AZ,85301,33.524223,-112.202658,,Propane Cylinder Refill,False
Shell,6705 W Bethany Home Rd,Glendale,AZ,85303,33.523541,-112.203519,,Propane Tank Exchange,False
Circle K,10612 N Cave Creek,Phoenix,AZ,85020,33.582881,-112.051759,,Propane Tank Exchange,False
CVS,3303 S Rural,Tempe,AZ,85281,33.392243,-111.925887,,Propane Tank Exchange,False
Circle K,7530 S Priest Rd,Tempe,AZ,85283,33.349719,-111.96394,,Propane Tank Exchange,False
ARCO AM PM,7502 W Indian School,Phoenix,AZ,85033,33.495158,-112.221132,,Propane Cylinder Refill,False
U-Haul,800 N McClintock,Tempe,AZ,85281,33.438167,-111.910376,,Propane Cylinder Refill,False
Walmart,1380 W Elliot Rd,Tempe,AZ,85284,33.350971,-111.961006,,Propane Tank Exchange,True
Circle K,10625 N 19th Ave,Phoenix,AZ,85029,33.582951,-112.099102,,Propane Tank Exchange,False
Circle K,505 W Guadalupe,Tempe,AZ,85283,33.363133,-111.946528,,Propane Tank Exchange,False
Circle K,6002 NW Grand Ave,Glendale,AZ,85301,33.541991,-112.189498,,Propane Tank Exchange,False
Circle K,8001 E McDowell,Scottsdale,AZ,85257,33.465212,-111.908327,,Propane Tank Exchange,False
Walmart,5605 W Northern Ave,Glendale,AZ,85301,33.551266,-112.180094,,Propane Tank Exchange,True
7 Eleven,1795 E University Dr,Tempe,AZ,85281,33.42137,-111.909877,,Propane Tank Exchange,False
Circle K,4440 N Miller Rd,Scottsdale,AZ,85251,33.501672,-111.917922,,Propane Tank Exchange,False
Circle K,1802 E University,Tempe,AZ,85281,33.422376,-111.908327,,Propane Tank Exchange,False
Circle K,8001 E Thomas,Scottsdale,AZ,85251,33.479942,-111.908304,,Propane Tank Exchange,False
Circle K,5240 S Rural Rd,Tempe,AZ,85283,33.376647,-111.929203,,Propane Tank Exchange,False
Circle K,5060 E Warner Rd,Phoenix,AZ,85044,33.334426,-111.976935,,Propane Tank Exchange,False
Circle K,3410 N Hayden Rd,Scottsdale,AZ,85251,33.488057,-111.909468,,Propane Tank Exchange,False
Circle K,8202 E McDowell Rd,Scottsdale,AZ,85257,33.466165,-111.904202,,Propane Tank Exchange,False
Circle K,9002 N 47th Ave,Glendale,AZ,85302,33.568055,-112.160743,,Propane Tank Exchange,False
Circle K,4810 E Warner Rd,Phoenix,AZ,85044,33.331504,-111.980218,,Propane Tank Exchange,False
U-Haul,8162 S Priest,Tempe,AZ,85284,33.341781,-111.963375,,Propane Cylinder Refill,False
U-Haul,8162 S Priest,Tempe,AZ,85284,33.341781,-111.963375,,Propane Cylinder Refill,False
Circle K,995 W Elliot Rd,Tempe,AZ,85284,33.348729,-111.953973,,Propane Tank Exchange,False
7 Eleven,3201 E Shea Blvd,Phoenix,AZ,85028,33.582142,-112.012566,,Propane Tank Exchange,False
Circle K,298 N 83rd Ave,Tolleson,AZ,85353,33.451192,-112.238821,,Propane Tank Exchange,False
Quick Stop,7938 N 59th Ave,Glendale,AZ,85301,33.55282,-112.186614,,Propane Tank Exchange,False
Speeds Mart,1808 E Broadway,Tempe,AZ,85282,33.407969,-111.908699,,Propane Tank Exchange,False
Walmart,5137 W Olive Ave,Glendale,AZ,85302,33.564794,-112.170034,,Propane Tank Exchange,False
Walmart,5137 W Olive Ave,Glendale,AZ,85302,33.564794,-112.170034,,Propane Tank Exchange,True
Bashas,10631 N 32nd St,Phoenix,AZ,85028,33.583391,-112.01202,,Propane Tank Exchange,False
Grand Stop,6707 W Glendale Ave,Glendale,AZ,85303,33.537944,-112.203426,,Propane Tank Exchange,False
Circle K,8303 W McDowell,Tolleson,AZ,85353,33.464819,-112.238914,,Propane Tank Exchange,False
Circle K,3502 W Peoria,Phoenix,AZ,85029,33.582189,-112.134619,,Propane Tank Exchange,False
Bashas,4855 E Warner Rd,Phoenix,AZ,85044,33.329562,-111.978658,,Propane Tank Exchange,False
Circle K,4101 N Hayden Rd,Scottsdale,AZ,85251,33.495336,-111.908397,,Propane Tank Exchange,False
Circle K,8248 W Thomas Road,Phoenix,AZ,85033,33.48034,-112.237331,,Propane Tank Exchange,False
Safeway,1334 East Chandler Blvd,Phoenix,AZ,85048,33.306969,-112.053878,,Propane Tank Exchange,False
7 Eleven,8402 E McDowell,Scottsdale,AZ,85257,33.466346,-111.899943,,Propane Tank Exchange,False
Circle K,1250 E Chandler Blvd,Phoenix,AZ,85048,33.306627,-112.055744,,Propane Tank Exchange,False
