Date Ingested,Avg. Market Time (days),Make Model,ER,Serial Number,Previous Registration,MFR Year,EIS Date,Current Airframe Hours,Previous Country,Days On Market,Ask Price (M),Ask Price_MO,Sale Price,Sale Price_TBD,Sale Date,Engine Program Type,Passengers,Collins Venue CMS,Ku-band Internet,Ka-band internet,Starlink,BBML,GoGo Biz ATG-4000,GoGo Biz ATG-5000,Gogo Biz Avance L5,SwiftBroadband 
08/05/2025,195,Gulfstream G650,Yes,6343,N634JG,2018,01-12-2018,"2,055",US,45,,Yes,44.0,,29/08/2024,RRCC,14, , ,Yes, , , , , , 
08/05/2025,194,Gulfstream G550, ,5198,N940TT,2008,01-09-2008,"4,505",US,131,,Yes,16.2,,24/06/2024,RRCC,16, , ,Yes, , , , , , 
08/05/2025,229,Gulfstream G450, ,4250,N450CE,2012,01-08-2012,"3,475",US,173,,Yes,14.75,,07/10/2024,RRCC,14, , , , ,Yes, , ,Yes, 
08/05/2025,108,Gulfstream G280, ,2267,N111LP,2023,01-11-2023,275,US,28,24.0,,23.8,,11/04/2025,JSSI,10, , , , , , , ,Yes, 
08/05/2025,275,Gulfstream G200, ,158,N500AG,2007,01-07-2007,"5,545",US,584,4.5,,4.4,,23/12/2024,ESP-G,9, , , , , , ,Yes, , 
08/05/2025,209,Global 6000, ,9805,HB-JSK,2017,01-03-2018,"1,455",CH,99,31.5,,29.5,,09/05/2024,,12, , ,Yes, , , , , , 
08/05/2025,324,Global 5000, ,9513,C-FDIL,2012,01-06-2013,"2,565",CA,98,19.0,,18.2,,11/02/2025,RRCC,13, , , , , , , , ,Yes
08/05/2025,179,Falcon 7X, ,223,F-HEXR,2013,01-07-2014,"4,105",FR,137,25.99,,24.0,,23/12/2024,ESP,14, , , , , , , , ,Yes
08/05/2025,198,Falcon 2000EXy, ,136,N610SN,2007,01-01-2008,"4,325",US,86,,Yes,12.25,,09/05/2024,ESP-P,8, , , , , , , ,Yes,Yes
08/05/2025,115,Embraer Phenom 300, ,231,N82P,2014,01-11-2014,"1,470",US,127,8.79,,8.57,,27/11/2024,JSSI,8, , , , , , , , , 
08/05/2025,180,Embraer Phenom 100, ,146,N327HF,2010,01-06-2010,"2,210",US,64,2.59,,2.55,,31/10/2024,ESP-P,4, , , , , , , , , 
08/05/2025,177,Citation XLS, ,5530,N1909M,2004,01-01-2005,"6,160",US,224,4.99,,4.8,,26/11/2024,ESP-G,7, , , , , , , , , 
08/05/2025,144,Citation M2, ,859,N514JA,2014,01-01-2015,"1,260",US,196,3.99,,3.7,,07/02/2025,TAP Blue,5, , , , , , , , , 
