Team,Category,Date,vs,Opp,Game Result,Team Pts,Opp Pts,Spread,eFG #,eFG %,Rim #,Rim %,Short Mid #,Short Mid %,Long Mid #,Long Mid %,All Mid #,All Mid %,Corner Three #,Corner Three %,Non Corner #,Non Corner %,All Three #,All Three %,Pts/Poss %,Pts/Poss #,ALL TRANSITION Pts+/Poss %,ALL TRANSITION Pts+/Poss #,ALL TRANSITION Freq #,ALL TRANSITION Freq %,ALL TRANSITION Pts/Poss %,ALL TRANSITION Pts/Poss #,OFF STEALS Pts+/Poss %,OFF STEALS Pts+/Poss #,OFF STEALS Freq #,OFF STEALS Freq %,OFF STEALS Pts/Poss %,OFF STEALS Pts/Poss #,OFF LIVE REBOUNDS Pts+/Poss %,OFF LIVE REBOUNDS Pts+/Poss #,OFF LIVE REBOUNDS Freq #,OFF LIVE REBOUNDS Freq %,OFF LIVE REBOUNDS Pts/Poss %,OFF LIVE REBOUNDS Pts/Poss #
ATL,Offense: Shooting Accuracy,02/27/24,vs.,UTA,W,124,97,-1.5,57,55.9%,42,64.5%,38,40.0%,81,60.0%,64,46.7%,57,42.9%,48,36.0%,50,37.5%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Accuracy,02/25/24,vs.,ORL,W,109,92,-2.0,34,52.2%,2,45.2%,53,44.0%,96,80.0%,72,50.0%,57,42.9%,68,40.9%,69,41.4%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Accuracy,02/23/24,vs.,TOR,L,121,123,-7.5,20,49.5%,28,60.5%,18,31.8%,78,57.1%,32,37.9%,48,38.5%,20,28.0%,25,31.6%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Accuracy,02/14/24,@,CHA,L,99,122,-7.0,9,46.0%,26,60.0%,27,35.7%,78,57.1%,50,42.9%,9,16.7%,13,25.8%,6,24.3%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Accuracy,02/12/24,vs.,CHI,L,126,136,-5.0,46,54.3%,61,70.0%,30,36.8%,98,100.0%,50,42.9%,56,41.2%,20,28.0%,30,33.3%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Accuracy,02/10/24,vs.,HOU,W,122,113,-7.5,44,54.0%,58,69.0%,29,36.4%,24,28.6%,17,33.3%,68,46.7%,20,28.0%,40,35.0%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Accuracy,02/09/24,@,PHI,W,127,121,-3.5,84,61.7%,48,66.7%,52,43.8%,81,60.0%,67,47.6%,80,53.8%,62,39.1%,81,44.4%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Accuracy,02/07/24,@,BOS,L,117,125,+11.5,20,50.0%,41,64.3%,31,37.0%,29,33.3%,26,36.4%,32,30.8%,48,36.0%,36,34.2%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Accuracy,02/05/24,vs.,LAC,L,144,149,+4.0,91,64.2%,38,63.3%,57,45.5%,60,50.0%,62,46.2%,89,61.1%,74,42.9%,95,51.3%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Accuracy,02/03/24,vs.,GSW,W,141,134,-2.0,50,54.9%,69,72.7%,67,50.0%,27,30.0%,57,44.7%,18,23.5%,64,40.0%,30,33.3%,,,,,,,,,,,,,,,,,,,,
